id;name;vulnerableVersionRange;severity;date
555;lix;< 15.8.11;4;2020-04-16T03:14:59Z
556;node-uuid;< 1.4.4;1;2020-04-16T03:14:50Z
557;sanitize-html;< 1.4.3;2;2020-04-16T03:14:47Z
558;@fraction/oasis;< 2.15.0;2;2020-04-16T03:14:39Z
559;devcert-sanscache;< 0.4.7;3;2020-04-14T23:09:00Z
560;auth0-js;>= 8.0.0, < 9.13.2;3;2020-04-10T18:19:10Z
561;confinit;< 0.4.0;2;2020-04-07T15:52:05Z
562;minimist;< 0.2.1;2;2020-03-13T20:36:16Z
563;acorn;>= 7.0.0, < 7.1.1;2;2020-04-03T21:48:38Z
564;acorn;>= 6.0.0, < 6.4.1;2;2020-04-03T21:48:38Z
565;minimist;>= 1.0.0, < 1.2.3;1;2020-04-03T21:48:32Z
566;minimist;< 0.2.1;1;2020-04-03T21:48:32Z
567;seeftl;<= 0.1.1;3;2020-04-01T16:36:31Z
568;fileview;<= 0.1.6;3;2020-04-01T16:36:15Z
569;knockout;< 3.5.0;2;2020-04-01T15:47:45Z
570;ecstatic;<= 4.1.2;3;2020-04-01T16:35:08Z
571;http_server;<= 1.0.12;3;2020-03-31T17:02:26Z
572;statics-server;<= 0.0.9;2;2020-03-31T17:02:12Z
573;next;< 9.3.2;2;2020-03-30T20:40:50Z
574;@metamask/eth-ledger-bridge-keyring;< 0.2.2;3;2020-03-24T15:08:59Z
575;eth-ledger-bridge-keyring;< 0.2.1;3;2020-03-24T15:08:59Z
576;dojox;>= 1.16.0, < 1.16.2;1;2020-03-10T18:03:32Z
577;dojox;>= 1.15.0, < 1.15.3;1;2020-03-10T18:03:32Z
578;dojox;>= 1.14.0, < 1.14.6;1;2020-03-10T18:03:32Z
579;dojox;>= 1.13.0, < 1.13.7;1;2020-03-10T18:03:32Z
580;dojox;>= 1.12.0, < 1.12.8;1;2020-03-10T18:03:32Z
581;dojox;< 1.11.10;1;2020-03-10T18:03:32Z
582;dojo;>= 1.16.0, < 1.16.2;3;2020-03-10T18:03:14Z
583;dojo;>= 1.15.0, < 1.15.3;3;2020-03-10T18:03:14Z
584;dojo;>= 1.14.0, < 1.14.6;3;2020-03-10T18:03:14Z
585;dojo;>= 1.13.0, < 1.13.7;3;2020-03-10T18:03:14Z
586;dojo;>= 1.12.0, < 1.12.8;3;2020-03-10T18:03:14Z
587;dojo;< 1.11.10;3;2020-03-10T18:03:14Z
588;parse-server;< 4.1.0;3;2020-03-04T20:20:27Z
589;vp-toolkit;< 0.2.2;3;2020-03-06T01:15:46Z
590;vp-toolkit;< 0.2.2;3;2020-03-06T01:16:00Z
591;discord-markdown;< 2.3.1;3;2020-02-24T17:34:02Z
592;uap-core;< 0.7.3;3;2020-02-20T23:26:10Z
593;taffy;<= 2.6.2;3;2020-02-19T16:43:42Z
594;codecov;< 3.6.5;2;2020-02-19T17:29:39Z
596;dojox;>= 1.15.0, < 1.15.2;1;2020-02-13T22:21:06Z
597;dojox;>= 1.14.0, < 1.14.5;1;2020-02-13T22:21:06Z
598;dojox;>= 1.13.0, < 1.13.6;1;2020-02-13T22:21:06Z
599;dojox;>= 1.12.0, < 1.12.7;1;2020-02-13T22:21:06Z
600;dojox;< 1.11.9;1;2020-02-13T22:21:06Z
601;yarn;<= 1.21.1;2;2020-02-14T23:10:16Z
602;aws-lambda;<= 1.0.4;3;2020-02-14T23:09:45Z
603;git-diff-apply;<= 0.22.1;3;2020-02-14T23:09:24Z
604;angular;<= 1.4.14;3;2020-02-14T23:08:49Z
606;auth0-lock;< 11.21.0;2;2020-01-31T17:59:51Z
607;@ensdomains/ens;< 0.4.0;4;2020-01-30T23:55:04Z
608;tinymce;>= 5.0.0, < 5.1.4;3;2020-01-30T21:22:15Z
609;tinymce;< 4.9.7;3;2020-01-30T21:22:15Z
610;node-red;<= 0.20.7;2;2020-01-30T21:00:21Z
611;angular-expressions;< 1.0.1;3;2020-01-24T15:27:25Z
612;mongo-express;< 0.54.0;3;2019-12-30T19:30:31Z
613;cookie-signature;< 1.0.4;2;2020-01-06T18:44:10Z
614;handlebars;< 4.3.0;3;2019-12-26T17:58:13Z
615;lodahs;>= 0.0.1;4;2019-12-16T19:29:33Z
616;npm;< 6.13.4;1;2019-12-13T15:39:32Z
617;npm;< 6.13.3;1;2019-12-13T15:39:26Z
618;serialize-to-js;< 3.0.1;2;2019-12-06T23:20:26Z
619;serialize-javascript;< 2.1.1;2;2019-12-05T18:44:37Z
620;lodash;< 4.17.12;3;2019-07-10T19:45:23Z
621;jpv;< 2.1.1;2;2019-12-04T21:25:28Z
622;strapi;< 3.0.0-beta.17.5;3;2019-12-02T18:20:41Z
623;pomelo;< 2.2.7;2;2019-12-02T18:16:34Z
624;iobroker.web;< 2.4.10;3;2019-12-02T18:14:30Z
625;iobroker.js-controller;< 2.0.25;3;2019-12-02T18:06:14Z
626;pannellum;>= 2.5.0, < 2.5.5;2;2019-11-22T18:18:03Z
627;angular;< 1.7.9;2;2019-11-20T15:29:43Z
629;slpjs;< 0.21.4;4;2019-11-15T23:10:35Z
630;@cubejs-backend/api-gateway;>= 0.11.0, <= 0.11.16;3;2019-11-08T17:31:17Z
631;sequelize;< 3.35.1;3;2019-11-08T17:05:17Z
632;sequelize;>= 5.0.0, < 5.8.11;3;2019-11-06T17:11:10Z
633;sequelize;>= 4.0.0, < 4.44.3;3;2019-11-06T17:11:10Z
634;sequelize;< 3.35.1;3;2019-11-06T17:11:10Z
635;node-red-dashboard;< 2.17.0;2;2019-10-25T19:41:24Z
636;sequelize;>= 5.0.0, < 5.15.1;3;2019-10-25T19:43:16Z
637;sequelize;< 4.44.3;3;2019-10-25T19:43:16Z
638;renovate;< 19.38.7;2;2019-10-21T16:02:33Z
639;knex;< 0.19.5;3;2019-10-21T16:12:13Z
640;safer-eval;< 1.3.4;3;2019-10-21T21:58:34Z
641;realms-shim;< 1.2.1;4;2019-10-21T21:58:55Z
642;safer-eval;< 1.3.2;3;2019-10-17T18:27:30Z
643;csv-parse;< 4.4.6;3;2019-10-15T20:06:16Z
644;swagger-ui;< 3.23.11;3;2019-10-15T19:27:05Z
645;mongoose;< 5.7.5;2;2019-10-22T20:19:54Z
647;ses;< 0.6.3;4;2019-10-04T17:56:12Z
648;realms-shim;< 1.2.0;4;2019-10-04T17:56:12Z
649;centra;< 2.4.0;1;2019-09-30T19:31:59Z
650;html-pdf;<= 2.2.0;4;2019-10-11T18:40:38Z
651;generator-jhipster;< 6.3.1;3;2019-09-23T18:31:05Z
652;status-board;< 1.1.82;3;2019-09-23T18:32:42Z
653;status-board;< 1.1.82;3;2019-09-23T18:32:54Z
654;bower;< 1.8.8;3;2019-09-17T23:21:34Z
655;gitlabhook;<= 0.0.17;4;2019-09-16T22:24:02Z
656;generator-jhipster;< 6.3.0;4;2019-09-13T21:33:25Z
657;smartbanner.js;< 1.14.1;1;2019-09-13T13:22:33Z
658;seneca;< 3.9.0;1;2019-09-11T23:07:57Z
659;larvitbase-api;< 0.5.5;2;2019-09-11T23:03:57Z
660;statichttpserver;<= 0.9.7;4;2019-09-04T10:02:14Z
661;dojo;>= 1.10.0, < 1.10.10;2;2019-09-11T23:02:57Z
662;dojo;>= 1.11.0, < 1.11.6;2;2019-09-11T23:02:57Z
663;dojo;>= 1.12.0, < 1.12.4;2;2019-09-11T23:02:57Z
665;webtorrent;< 0.107.6;1;2019-09-04T10:02:50Z
666;deeply;< 3.1.0;3;2019-08-27T17:45:33Z
668;set-value;< 2.0.1;3;2019-08-27T17:43:33Z
670;mixin-deep;< 1.3.2;3;2019-08-27T17:42:33Z
671;selectize-plugin-a11y;< 1.1.0;3;2019-08-27T17:38:33Z
672;cyberchef;< 8.31.3;3;2019-08-27T17:36:32Z
673;eslint-utils;>= 1.2.0, < 1.4.1;4;2019-08-26T16:59:56Z
674;connect-pg-simple;< 6.0.1;1;2019-08-26T16:59:45Z
675;openpgp;<= 4.1.2;2;2019-08-23T21:42:18Z
676;openpgp;<= 4.1.2;3;2019-08-23T21:42:20Z
677;openpgp;< 4.3.0;3;2019-08-23T21:42:22Z
678;sequelize;>= 5.0.0, < 5.3.0;2;2019-04-11T16:33:17Z
682;assign-deep;< 0.4.8;3;2019-08-21T16:15:13Z
683;yarn;< 1.17.3;3;2019-07-31T04:22:15Z
684;min-http-server;<= 1.0.6;3;2019-07-31T04:22:27Z
685;http-file-server;<= 0.2.6;3;2019-07-31T04:22:36Z
686;lodash;< 4.17.11;2;2019-07-19T16:13:07Z
687;@nuxt/devalue;< 1.2.3;3;2019-07-16T00:42:02Z
688;http-file-server;< 0.2.6;3;2019-07-16T00:41:34Z
689;parse-server;< 3.6.0;1;2019-07-11T14:23:09Z
690;lodash.defaultsdeep;< 4.6.1;3;2019-07-10T19:45:23Z
691;lodash.mergewith;< 4.6.2;3;2019-07-10T19:45:23Z
692;lodash.merge;< 4.6.2;3;2019-07-10T19:45:23Z
693;lodash.template;< 4.5.0;3;2019-07-10T19:45:23Z
694;lodash-amd;< 4.17.13;3;2019-07-10T19:45:23Z
695;lodash-es;< 4.17.14;3;2019-07-10T19:45:23Z
696;saml2-js;< 2.0.2;2;2019-07-05T21:11:18Z
697;saml2-js;< 1.12.4;2;2019-07-05T21:11:18Z
698;serve-here;<= 3.2.0;3;2019-07-05T21:07:14Z
699;keycloak-connect;< 4.8.3;2;2019-06-13T20:38:09Z
700;parse-server;< 3.4.1;2;2019-06-13T16:22:13Z
701;harp;<= 0.29.0;2;2019-06-13T16:12:22Z
702;harp;<= 0.29.0;2;2019-06-13T16:12:26Z
703;remarkable;<= 1.7.1;3;2019-06-06T15:32:15Z
704;axios;<= 0.18.0;2;2019-05-29T18:04:45Z
705;gun;< 0.2019.416;3;2019-06-05T09:48:02Z
706;secure-compare;< 3.0.1;3;2019-06-03T17:28:23Z
707;fstream;< 1.0.12;3;2019-05-30T17:19:34Z
708;fs-git;< 1.0.2;3;2019-05-29T20:23:00Z
709;shave;< 2.5.3;3;2019-05-29T18:38:08Z
710;verdaccio;< 3.12.0;3;2019-05-29T18:02:59Z
711;tar;>= 3.0.0, < 4.4.2;3;2019-05-01T18:37:31Z
712;tar;< 2.2.2;3;2019-05-01T18:37:31Z
713;remarkable;<= 1.7.1;2;2019-05-29T18:04:55Z
714;simditor;< 2.3.22;3;2019-05-14T04:01:27Z
715;mqtt-packet;>= 6.0.0, < 6.1.2;3;2019-05-14T04:02:45Z
716;mqtt-packet;>= 5.0.0, < 5.6.1;3;2019-05-14T04:02:45Z
717;mqtt-packet;>= 4.0.0, < 4.1.3;3;2019-05-14T04:02:45Z
718;mqtt-packet;< 3.5.1;3;2019-05-14T04:02:45Z
719;tar-fs;< 1.16.2;3;2019-05-01T18:37:18Z
720;nodebb;< 0.8.2;2;2019-05-01T18:37:08Z
721;jquery;< 3.4.0;2;2019-04-26T16:29:11Z
722;jquery;< 3.4.0;2;2019-04-23T15:59:10Z
723;simple-markdown;< 0.4.4;3;2019-04-09T19:47:29Z
724;materialize-css;<= 1.0.0;1;2019-04-09T19:44:37Z
725;http-live-simulator;< 1.0.6;3;2019-04-08T15:18:40Z
726;total.js;<= 3.3.0-13;2;2019-04-02T15:46:52Z
727;morgan;< 1.9.1;2;2019-03-25T18:03:23Z
728;kill-port;< 1.3.2;3;2019-03-25T16:17:18Z
729;serve;< 7.1.3;3;2019-03-25T18:03:58Z
730;serve;< 7.1.3;3;2019-03-25T18:04:01Z
731;highcharts;< 6.1.0;1;2019-03-18T15:59:32Z
732;uap-core;< 0.6.0;2;2019-03-06T17:35:47Z
733;bootstrap-sass;>= 3.0.0, < 3.4.1;2;2019-02-22T20:54:27Z
734;bootstrap;>= 3.0.0, < 3.4.1;2;2019-02-22T20:54:27Z
735;bootstrap;>= 4.0.0, < 4.3.1;2;2019-02-22T20:54:27Z
737;total.js;< 3.2.3;3;2019-02-20T15:40:13Z
738;broccoli-closure;< 1.3.1;3;2019-02-18T23:57:05Z
739;headless-browser-lite;< 2015.4.18-a;3;2019-02-18T23:56:58Z
740;ws;< 1.0.1;1;2019-02-18T23:56:42Z
741;sequelize;< 3.17.0;3;2019-02-18T23:54:34Z
742;sequelize;<= 2.1.3;3;2019-02-18T23:54:32Z
743;waterline-sequel;< 0.5.1;3;2019-02-18T23:54:28Z
744;sequelize;<= 1.7.0-alpha2;2;2019-02-18T23:54:28Z
745;sequelize;<= 3.19.3;4;2019-02-18T23:54:24Z
746;aerospike;< 2.4.2;3;2019-02-18T23:54:22Z
747;galenframework-cli;< 2.3.1;3;2019-02-18T23:54:21Z
748;iedriver;< 3.0.0;3;2019-02-18T23:54:20Z
749;go-ipfs-dep;< 0.4.4;3;2019-02-18T23:54:18Z
750;install-nw;< 1.1.5;3;2019-02-18T23:54:09Z
751;geoip-lite-country;< 1.1.4;3;2019-02-18T23:54:03Z
752;pngcrush-installer;< 1.8.10;3;2019-02-18T23:52:27Z
753;bkjs-wand;< 0.3.2;3;2019-02-18T23:52:20Z
754;mongodb-instance;< 0.0.3;3;2019-02-18T23:52:14Z
755;ibm_db;< 1.0.2;3;2019-02-18T23:51:59Z
756;fuseki;< 1.0.1;3;2019-02-18T23:52:07Z
757;unicode;< 9.0.0;3;2019-02-18T23:51:52Z
758;macaca-chromedriver;< 1.0.29;3;2019-02-18T23:51:09Z
759;nw;< 0.23.6-1;3;2019-02-18T23:51:04Z
760;haxe;< 5.0.2;3;2019-02-18T23:50:21Z
761;unicode-json;< 2.0.0;3;2019-02-18T23:47:59Z
762;strider-sauce;<= 0.6.3;3;2019-02-18T23:47:53Z
763;nodeschnaps;< 1.0.3;3;2019-02-18T23:47:31Z
764;mystem3;<= 1.0.7;3;2019-02-18T23:47:26Z
765;js-given;< 0.0.18;3;2019-02-18T23:47:09Z
766;limbus-buildgen;< 0.1.1;3;2019-02-18T23:42:27Z
767;selenium-download;< 2.0.7;3;2019-02-18T23:40:25Z
768;appium-chromedriver;< 2.9.4;3;2019-02-18T23:40:19Z
769;sails;< 0.12.7;3;2019-02-18T23:40:10Z
770;call;>= 2.0.1, < 3.0.2;2;2019-02-18T23:40:04Z
771;ws;< 1.1.1;3;2019-02-18T23:58:35Z
772;shell-quote;< 1.6.1;4;2019-02-18T23:58:29Z
773;cli;< 1.0.0;1;2019-02-18T23:40:03Z
774;backbone;< 0.5.0;3;2019-02-18T23:39:55Z
775;engine.io-client;< 1.6.9;2;2019-02-18T23:39:50Z
776;csrf-lite;< 0.1.2;3;2019-02-18T23:39:44Z
777;electron-packager;>= 5.2.1, < 7.0.0;1;2019-02-18T23:58:24Z
778;console-io;< 2.3.0;4;2019-02-18T23:39:39Z
779;marked;< 0.3.6;3;2019-02-18T23:58:20Z
780;airbrake;< 0.4.0;2;2019-02-18T23:58:13Z
781;droppy;< 3.5.0;3;2019-02-18T23:39:32Z
782;restafary;< 1.6.1;2;2019-02-18T23:39:22Z
783;riot-compiler;< 2.3.22;2;2019-02-18T23:39:13Z
784;grunt-gh-pages;<= 0.9.1;2;2019-02-18T23:39:11Z
785;i18n-node-angular;< 1.4.0;3;2019-02-18T23:39:06Z
787;mqtt-packet;>= 4.0.0, < 4.0.5;3;2019-02-18T23:38:45Z
788;mqtt-packet;< 3.4.6;3;2019-02-18T23:38:45Z
789;operadriver;< 0.2.3;3;2019-02-18T23:35:48Z
790;product-monitor;< 2.2.5;3;2019-02-18T23:35:32Z
791;embedza;< 1.2.4;3;2019-02-18T23:35:23Z
792;baryton-saxophone;< 3.0.1;3;2019-02-18T23:35:18Z
793;kindlegen;< 1.1.0;3;2019-02-18T23:35:10Z
794;chromedriver;< 2.26.1;3;2019-02-18T23:58:05Z
795;prince;< 1.4.6;3;2019-02-18T23:34:24Z
796;Haraka;< 2.8.9;4;2019-02-12T17:26:10Z
797;cordova-plugin-ionic-webview;< 2.2.0;3;2019-02-12T15:36:35Z
798;rendertron;< 1.1.0;3;2019-02-12T15:36:39Z
799;http-live-simulator;< 1.0.7;3;2019-02-07T18:14:21Z
800;public;< 0.1.4;1;2019-02-07T18:14:37Z
801;mcstatic;<= 0.0.20;1;2019-02-07T18:15:44Z
802;express-cart;< 1.1.6;1;2019-02-07T18:16:03Z
803;m-server;< 1.4.2;2;2019-02-07T18:16:16Z
804;m-server;< 1.4.1;1;2019-02-18T23:58:00Z
805;defaults-deep;< 0.2.4;2;2019-02-07T18:16:38Z
806;lodash;< 4.17.11;3;2019-02-07T18:16:48Z
807;just-extend;< 4.0.0;2;2019-02-07T18:17:12Z
808;mpath;< 0.5.1;2;2019-02-07T18:17:26Z
810;node.extend;< 1.1.7;2;2019-02-07T18:17:34Z
811;extend;< 2.0.2;2;2019-02-07T18:03:28Z
812;extend;>= 3.0.0, < 3.0.2;2;2019-02-07T18:03:28Z
813;bootstrap;< 3.4.0;1;2019-01-17T13:57:56Z
814;bootstrap;< 3.4.0;1;2019-01-17T13:57:34Z
815;bootstrap;>= 3.0.0, < 3.4.0;1;2019-01-17T13:57:27Z
816;xterm;>= 3.10, < 3.10.1;1;2019-01-14T16:19:55Z
817;xterm;>= 3.9.0, < 3.9.2;1;2019-01-14T16:19:55Z
818;xterm;< 3.8.1;1;2019-01-14T16:19:55Z
819;rendertron;< 1.1.0;2;2019-01-07T19:14:21Z
820;react-dom;>= 16.4.0, < 16.4.2;1;2019-01-04T19:05:35Z
821;react-dom;>= 16.3.0, < 16.3.3;1;2019-01-04T19:05:35Z
823;react-dom;>= 16.1.0, < 16.1.2;1;2019-01-04T19:05:35Z
825;rendertron;< 1.1.0;3;2019-01-04T17:41:51Z
826;rendertron;< 1.1.0;3;2019-01-04T17:41:46Z
827;react-dev-utils;>= 5.0.0, < 5.0.2;3;2019-01-04T17:41:20Z
828;react-dev-utils;>= 4.0.0, < 4.2.2;3;2019-01-04T17:41:20Z
829;react-dev-utils;>= 3.0.0, < 3.1.2;3;2019-01-04T17:41:20Z
830;react-dev-utils;>= 2.0.0, < 2.0.2;3;2019-01-04T17:41:20Z
831;react-dev-utils;>= 1.0.0, < 1.0.4;3;2019-01-04T17:41:20Z
832;webpack-dev-server;< 3.1.11;3;2019-01-04T17:40:59Z
833;bootstrap;>= 4.0.0, < 4.1.2;2;2018-09-13T15:49:56Z
834;bootstrap;< 3.4.0;2;2018-09-13T15:49:56Z
835;jquery-file-upload;<= 4.0.2;2;2018-12-19T19:24:03Z
836;simplehttpserver;< 0.2.1;2;2018-12-06T15:49:10Z
837;hostr;<= 2.3.5;2;2018-11-09T17:44:20Z
838;shout;>= 0.44.0, <= 0.49.3;2;2018-11-07T00:28:11Z
839;socket.io;<= 0.9.6;2;2018-11-07T00:29:37Z
840;handlebars;< 4.0.0;3;2018-10-23T17:20:12Z
841;express-restify-mongoose;>= 3.0.0, <= 3.0.1;3;2018-10-23T17:14:57Z
842;jsonwebtoken;< 4.2.2;4;2018-10-09T00:38:30Z
843;superagent;< 3.7.0;1;2018-08-09T20:13:01Z
844;st;<= 1.2.1;2;2018-08-06T21:33:31Z
845;moment;< 2.11.2;2;2018-07-31T23:03:17Z
846;is-my-json-valid;<= 2.12.3;2;2018-07-31T22:54:14Z
847;hawk;>= 4.0.0, < 4.1.1;2;2018-07-31T22:52:00Z
848;alto-saxophone;< 2.25.1;3;2018-07-31T22:34:45Z
849;serve;<= 6.4.8;2;2018-07-27T17:07:50Z
850;dns-sync;< 0.1.1;4;2018-07-26T16:24:34Z
851;pouchdb;< 6.0.5;4;2018-07-26T16:22:08Z
852;hekto;< 0.2.3;3;2018-07-26T15:22:00Z
853;default-deep;< 0.2.4;1;2018-07-26T15:18:43Z
854;merge-deep;< 3.0.1;1;2018-07-26T15:17:15Z
855;lodash;< 4.17.5;1;2018-07-26T15:14:52Z
856;assign-deep;< 0.4.7;1;2018-07-26T15:12:31Z
857;mixin-deep;< 1.3.1;1;2018-07-26T15:10:54Z
858;simple-server;< 1.1.0;3;2018-07-26T15:08:05Z
859;anywhere;< 1.5.0;3;2018-07-26T15:08:05Z
860;glance;< 3.0.4;3;2018-07-26T14:53:14Z
861;node-srv;< 2.1.1;3;2018-07-26T14:50:41Z
862;localhost-now;< 1.0.2;3;2018-07-25T22:44:05Z
863;node-simple-router;<= 0.10.0;3;2018-07-24T19:42:39Z
864;ikst;< 1.1.2;3;2018-07-24T15:56:19Z
865;tinyserver2;<= 0.5.2;3;2018-07-24T15:01:34Z
866;list-n-stream;<= 0.0.10;3;2018-07-24T14:57:31Z
867;no-case;< 2.3.2;3;2018-07-24T19:51:16Z
868;marked;< 0.3.9;3;2018-07-24T20:10:52Z
869;nes;<= 6.4.0;3;2018-07-24T20:06:33Z
870;aegir;>= 12.0.0, <= 12.0.7;3;2018-07-24T20:04:11Z
871;uri-js;<= 2.1.1;3;2018-07-24T20:00:30Z
872;decamelize;>= 1.1.0, <= 1.1.1;3;2018-07-24T20:00:17Z
873;useragent;<= 2.1.12;3;2018-07-24T19:59:13Z
874;i18next;>= 2.0.0, < 3.4.4;2;2018-07-24T19:58:33Z
875;tough-cookie;< 2.3.3;3;2018-07-24T20:14:39Z
876;node-jose;< 0.9.3;3;2018-07-20T21:10:14Z
877;mime;>= 2.0.0, < 2.0.3;2;2018-07-20T16:20:52Z
878;fastify;<= 0.37.0;3;2018-07-18T21:20:34Z
879;public;<= 0.1.2;3;2018-07-18T21:20:30Z
880;resolve-path;< 1.4.0;3;2018-07-18T21:20:25Z
881;crud-file-server;<= 0.7.0;4;2018-07-18T18:34:27Z
882;dns-sync;< 0.1.1;4;2018-07-18T18:28:02Z
883;serialize-to-js;<= 0.5.0;4;2018-07-18T18:27:41Z
884;hapi;< 11.0.0;2;2018-06-07T19:43:25Z
885;keystone;< 0.3.16;1;2018-06-07T19:43:20Z
886;hapi;< 11.1.3;3;2018-06-07T19:43:15Z
887;ecstatic;< 1.4.0;3;2018-06-07T19:43:11Z
888;reduce-css-calc;< 1.2.5;4;2018-06-07T19:43:06Z
889;hoek;>= 5.0.0, < 5.0.3;2;2018-04-26T15:25:17Z
890;electron;>= 1.8.0, < 1.8.2-beta.4;4;2018-01-23T03:57:44Z
891;electron;>= 1.6.0, < 1.6.16;4;2018-01-23T03:57:44Z
892;electron;>= 1.7.0, < 1.7.11;4;2018-01-23T03:57:44Z
893;flatmap-stream;> 0;4;2018-11-26T23:58:21Z
894;ethereumjs-vm;<= 2.4.0;1;2018-11-21T22:22:46Z
895;simplemde;<= 1.11.2;2;2018-11-21T22:21:25Z
896;yapi-vendor;< 1.3.23;2;2018-11-21T22:19:59Z
897;ckeditor;< 4.11.0;2;2018-11-21T22:19:50Z
898;valine;<= 1.3.3;2;2018-11-21T22:19:41Z
899;windows-build-tools;< 1.0.0;3;2018-11-09T17:48:37Z
900;mapbox.js;>= 2.0.0, < 2.2.4;2;2018-11-09T17:48:34Z
901;mapbox.js;< 1.6.6;2;2018-11-09T17:48:34Z
902;http-signature;< 0.10.0;1;2018-11-09T17:49:34Z
903;i18next;<= 1.10.2;2;2018-11-09T17:46:56Z
904;html-janitor;< 2.0.3;3;2018-11-09T17:49:11Z
905;mapbox.js;>= 2.0.0, < 2.1.7;2;2018-11-09T17:47:45Z
906;mapbox.js;< 1.6.5;2;2018-11-09T17:47:45Z
907;remarkable;<= 1.6.2;3;2018-11-09T17:48:20Z
908;sanitize-html;< 1.2.3;2;2018-11-09T17:45:55Z
909;http-proxy;<= 0.6.6;2;2018-11-09T17:47:52Z
910;forms;< 1.3.0;2;2018-11-09T17:46:27Z
911;sanitize-html;<= 1.11.1;2;2018-11-09T17:47:23Z
912;restify;>= 2.0.0, <= 4.0.4;2;2018-11-09T17:45:38Z
913;request;>= 2.2.6, < 2.47.0;2;2018-11-09T17:44:01Z
914;request;>= 2.49.0, < 2.68.0;2;2018-11-09T17:44:01Z
916;cached-path-relative;< 1.0.2;3;2018-11-07T20:46:25Z
917;auth0-js;< 9.0.0;2;2018-11-06T23:15:13Z
918;nunjucks;< 2.4.3;2;2018-11-06T23:13:37Z
919;jwt-simple;< 0.3.1;4;2018-11-06T23:12:07Z
920;validator;< 2.0.0;3;2018-11-06T23:12:49Z
921;libnmap;< 0.4.16;2;2018-11-01T14:51:33Z
922;apex-publish-static-files;< 2.0.1;4;2018-11-01T14:48:50Z
923;node-tkinter;<= 1.0.2;2;2018-11-01T14:47:43Z
924;merge;< 1.2.1;1;2018-11-01T14:45:42Z
925;parcel-bundler;< 1.10.0;3;2018-10-30T20:36:53Z
926;express;>= 4.0.0, < 4.5.0;2;2018-10-23T17:22:54Z
927;express;< 3.11.0;2;2018-10-23T17:22:54Z
928;express-restify-mongoose;<= 2.4.2;3;2018-10-23T17:14:57Z
929;blueimp-file-upload;<= 9.22.0;3;2018-10-22T18:53:56Z
930;dojox;< 1.14;4;2018-10-15T22:03:48Z
931;next;>= 7.0.0, < 7.0.2;3;2018-10-15T21:43:12Z
932;tough-cookie;< 2.3.0;2;2018-10-10T18:57:02Z
933;public;< 0.1.4;3;2018-10-10T17:27:58Z
934;send;< 0.8.4;2;2018-10-09T00:34:30Z
935;qs;< 1.0.0;3;2018-10-09T00:44:29Z
936;qs;< 1.0.0;3;2018-10-09T00:38:48Z
937;minimatch;< 3.0.2;3;2018-10-09T00:40:41Z
938;negotiator;< 0.6.1;3;2018-10-09T00:30:30Z
939;uglify-js;< 2.4.24;3;2018-10-09T00:39:43Z
940;mustache;< 2.2.1;2;2018-10-09T00:38:09Z
941;hapi;>= 15.0.0, <= 16.1.0;2;2018-10-09T00:57:28Z
942;randomatic;< 3.0.0;1;2018-10-09T00:57:21Z
943;protobufjs;< 5.0.3;2;2018-10-09T00:27:15Z
944;protobufjs;>= 6.0.0, < 6.8.6;2;2018-10-09T00:27:15Z
945;atob;< 2.1.0;2;2018-10-09T00:56:26Z
946;deep-extend;< 0.5.1;1;2018-10-09T00:44:59Z
947;merge-options;< 1.0.1;1;2018-10-09T00:19:57Z
948;merge-object;<= 1.0.0;3;2018-09-18T13:47:24Z
949;bson;>= 0.5.0, < 1.0.5;3;2018-09-17T20:44:58Z
950;ps;< 1.0.0;2;2018-09-17T20:43:59Z
951;egg-scripts;< 2.8.1;1;2018-09-17T20:43:34Z
952;exceljs;< 1.6.0;2;2018-09-11T18:58:40Z
953;cryptiles;< 4.1.2;3;2018-09-11T18:22:50Z
954;msrcrypto;< 1.4.1;1;2018-09-10T15:19:49Z
955;macaddress;< 0.2.9;4;2018-09-06T23:24:21Z
956;simplehttpserver;< 0.2.1;2;2018-09-06T03:22:59Z
958;mosca;< 2.8.2;3;2018-08-31T06:22:50Z
959;opencv.js;<= 1.2.1;2;2018-08-29T23:47:07Z
960;electron;>= 2.0.0, < 2.0.8;4;2018-08-23T19:12:08Z
961;electron;>= 1.8.0, < 1.8.8;4;2018-08-23T19:12:08Z
962;electron;>= 1.7.0, < 1.7.16;4;2018-08-23T19:12:08Z
963;flintcms;< 1.1.10;4;2018-08-21T17:03:59Z
964;git-dummy-commit;<= 1.3.0;3;2018-08-21T17:03:33Z
965;aedes;< 0.35.1;2;2018-08-15T20:03:22Z
966;sshpk;< 1.13.2;3;2018-08-15T13:22:23Z
967;url-parse;< 1.4.3;3;2018-08-13T15:02:15Z
968;charset;< 1.0.1;2;2018-08-09T20:55:46Z
969;debug;>= 3.0.0, < 3.1.0;1;2018-08-09T20:18:07Z
970;debug;< 2.6.9;1;2018-08-09T20:18:07Z
971;static-eval;< 2.0.0;2;2018-08-06T21:37:06Z
972;npm;>= 3.0.0, <= 3.8.2;3;2018-07-31T22:58:35Z
973;npm;<= 2.15.0;3;2018-07-31T22:58:35Z
974;hawk;< 3.1.3;2;2018-07-31T22:52:00Z
975;whereis;< 0.4.1;3;2018-07-31T18:28:53Z
976;adm-zip;< 0.4.11;3;2018-07-27T17:07:14Z
