id;name;vulnerableVersionRange;severity;date
263;ua-parser;<= 0.3.5;3;2018-07-24T19:46:37Z
264;summit;>= 0.1.0;2;2020-09-01T16:39:38Z
265;node-serialize;<= 0.0.4;4;2018-07-18T18:27:56Z
266;sync-exec;<= 0.6.2;2;2018-11-09T17:45:30Z
268;fury-adapter-swagger;>= 0.2.0, < 0.9.7;4;2020-09-01T16:38:33Z
269;react-native-baidu-voice-synthesizer;<= 1.0.0;3;2018-07-31T22:47:16Z
270;pm2-kafka;>= 0.0.0;3;2020-09-01T16:16:33Z
271;haxeshim;<= 0.12.4;3;2018-07-31T22:27:04Z
272;mystem-fix;<= 0.0.5;3;2018-07-27T14:34:11Z
273;npm-test-sqlite3-trunk;>= 0.0.0;3;2020-09-01T16:15:28Z
274;openframe-ascii-image;<= 0.1.0;3;2019-02-18T23:41:54Z
275;windows-latestchromedriver;>= 0.0.0;3;2020-09-01T16:14:22Z
276;haxe3;> 0;3;2018-08-17T20:28:13Z
277;windows-seleniumjar;<= 2.48.2;3;2018-07-31T22:06:33Z
278;windows-iedriver;<= 2.48.0;3;2019-02-18T23:41:58Z
279;roslib-socketio;>= 0.0.0;3;2020-09-01T16:13:18Z
281;gfe-sass;>= 0.0.0;3;2020-09-01T16:12:12Z
282;pk-app-wonderbox;<= 1.0.0;3;2019-02-18T23:42:01Z
283;healthcenter;<= 3.0.3;3;2019-02-18T23:42:06Z
284;fis-sass-all;> 0;3;2018-08-17T20:20:46Z
285;windows-selenium-chromedriver;>= 0.0.0;3;2020-09-01T16:11:08Z
286;arcanist;<= 0.0.1;2;2019-02-18T23:42:09Z
287;adamvr-geoip-lite;>= 0.0.0;2;2020-09-01T16:10:03Z
289;windows-seleniumjar-mirror;<= 2.52.1;3;2019-02-18T23:44:29Z
290;cloudpub-redis;<= 2.4.5;3;2019-02-18T23:44:26Z
291;mystem-wrapper;<= 0.2.0;3;2019-02-18T23:44:28Z
292;ipip-coffee;<= 1.0.9;2;2019-02-18T23:44:24Z
293;serc.js;<= 0.0.1;3;2019-02-18T23:42:11Z
294;libsbmlsim;<= 0.0.2;3;2019-02-18T23:42:22Z
295;google-closure-tools-latest;<= 0.1.1;3;2019-02-18T23:42:14Z
296;rs-brightcove;<= 0.0.2;3;2019-02-18T23:42:16Z
297;libsbml;<= 0.0.2;3;2019-02-18T23:44:33Z
298;poco;<= 1.5.4;3;2019-02-18T23:54:44Z
299;soci;<= 3.2.2;3;2019-02-18T23:44:32Z
300;fis-parser-sass-bin;<= 1.0.1;3;2019-02-18T23:45:03Z
301;co-cli-installer;<= 0.0.2;3;2019-02-18T23:45:10Z
302;tomita;<= 0.0.1;3;2019-02-18T23:44:50Z
303;qbs;<= 1.4.3;3;2019-02-18T23:45:11Z
304;clang-extra;<= 0.1.1;3;2019-02-18T23:45:13Z
305;wixtoolset;<= 1.0.0;3;2019-02-18T23:44:45Z
306;native-opencv;<= 3.0.0;3;2019-02-18T23:45:07Z
307;phantomjs-cheniu;<= 2.0.1;3;2019-02-18T23:44:52Z
308;tomita-parser;<= 0.0.3;3;2019-02-18T23:54:41Z
309;mystem;<= 0.0.3;3;2019-02-18T23:44:39Z
310;selenium-portal;<= 0.0.1-2;3;2019-02-18T23:44:36Z
311;herbivore;<= 0.0.3;3;2019-02-18T23:44:36Z
312;xd-testing;<= 1.0.1;3;2019-02-18T23:45:21Z
313;sfml;<= 0.0.3;3;2019-02-18T23:45:18Z
314;grunt-images;> 0;3;2018-08-15T19:05:14Z
315;resourcehacker;> 0;3;2018-08-15T19:03:59Z
316;marionette-socket-host;> 0;3;2018-08-15T18:50:31Z
317;ntfserver;<= 0.0.6;3;2019-02-18T23:47:05Z
318;node-air-sdk;>= 0.0.0;3;2020-09-01T16:08:58Z
319;prebuild-lwip;<= 0.0.4;3;2019-02-18T23:45:25Z
320;frames-compiler;>= 0.0.0;3;2020-09-01T16:07:53Z
321;apk-parser3;< 0.1.3;3;2020-09-01T16:06:49Z
322;webdriver-launcher;<= 0.1.3;3;2019-02-18T23:47:03Z
323;jstestdriver;> 0;3;2018-08-15T19:27:25Z
324;slimerjs-edge;> 0;3;2018-08-15T19:25:47Z
